"Date","PM2.5 AQI Value","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"09/23/2020","72","Donovan","06-073-1014","AQS","80","15","58.6","09/23/2002","09/23/2000"
"09/24/2020","80","Donovan","06-073-1014","AQS","91","23","65.6","09/24/2015","09/24/2000"
"09/25/2020","77","Pala Airpad","06-073-1201","AQS","77","37","58.6","09/25/2003","09/25/2014"
"09/26/2020","83","Pala Airpad","06-073-1201","AQS","99","31","58.4","09/26/2003","09/26/2014"
"09/27/2020","82","Pala Airpad","06-073-1201","AQS","80","31","60.8","09/27/2003","09/27/2014"
"09/28/2020","74","Pala Airpad","06-073-1201","AQS","78","24","58.8","09/28/2018","09/28/2002"
"09/29/2020","87","Pala Airpad","06-073-1201","AQS","89","17","55","09/29/2001","09/29/2002"
"09/30/2020","90","Donovan","06-073-1014","AQS","69","22","60.4","09/30/2015","09/30/2002"
"10/01/2020","104","Donovan","06-073-1014","AQS","104","28","57.6","10/01/2000","10/01/2002"
"10/02/2020","98","Donovan","06-073-1014","AQS","96","43","52","10/02/2000","10/02/2002"
"10/03/2020","115","Pala Airpad","06-073-1201","AQS","81","23","56","10/03/2001","10/03/2006"
"10/04/2020","159","Pala Airpad","06-073-1201","AQS","64","24","49","10/04/2019","10/04/2006"
"10/05/2020","170","Pala Airpad","06-073-1201","AQS","81","20","43.4","10/05/2003","10/05/2018"
"10/06/2020","167","Pala Airpad","06-073-1201","AQS","107","22","58","10/06/2003","10/06/2006"
"10/07/2020","162","Pala Airpad","06-073-1201","AQS","96","32","54.6","10/07/2004","10/07/2007"
"10/08/2020","152","Pala Airpad","06-073-1201","AQS","100","33","63.2","10/08/2004","10/08/2007"
"10/09/2020","110","Pala Airpad","06-073-1201","AQS","92","39","62.4","10/09/2003","10/09/2013"
"10/10/2020","107","Pala Airpad","06-073-1201","AQS","77","25","57.2","10/10/2001","10/10/2000"
"10/11/2020","82","Pala Airpad","06-073-1201","AQS","77","28","57.6","10/11/2001","10/11/2007"
"10/12/2020","69","Donovan","06-073-1014","AQS","82","22","54.6","10/12/2001","10/12/2009"
"10/13/2020","90","Donovan","06-073-1014","AQS","93","25","56","10/13/2002","10/13/2007"
"10/14/2020","88","Donovan","06-073-1014","AQS","110","21","56.2","10/14/2002","10/14/2009"
"10/15/2020","92","Donovan","06-073-1014","AQS","89","27","52.2","10/15/2001","10/15/2006"
"10/16/2020","91","Pala Airpad","06-073-1201","AQS","98","26","49.4","10/16/2001","10/16/2016"
"10/17/2020","93","Pala Airpad","06-073-1201","AQS","135","23","50.2","10/17/2003","10/17/2016"
"10/18/2020","83","Pala Airpad","06-073-1201","AQS","105","25","49.6","10/18/2003","10/18/2015"
"10/19/2020","92","Pala Airpad","06-073-1201","AQS","89","14","57.2","10/19/2000","10/19/2004"
"10/20/2020","85","Pala Airpad","06-073-1201","AQS","118","19","50.2","10/20/2000","10/20/2004"
"10/21/2020","75","Pala Airpad","06-073-1201","AQS","115","27","53.4","10/21/2005","10/21/2012"
"10/22/2020","78","Pala Airpad","06-073-1201","AQS","186","31","56.8","10/22/2007","10/22/2004"
"10/23/2020","79","Pala Airpad","06-073-1201","AQS","188","33","62.4","10/23/2007","10/23/2012"
"10/24/2020","79","Pala Airpad","06-073-1201","AQS","163","34","63.6","10/24/2007","10/24/2012"
"10/25/2020","72","Pala Airpad","06-073-1201","AQS","135","28","58.8","10/25/2007","10/25/2010"
"10/26/2020","53","Donovan","06-073-1014","AQS","176","36","66.8","10/26/2003","10/26/2000"
"10/27/2020","68","Camp Pendleton","06-073-1008","AQS","289","28","69.2","10/27/2003","10/27/2004"
"10/28/2020","88","Pala Airpad","06-073-1201","AQS","143","23","73.6","10/28/2007","10/28/2005"
"10/29/2020","123","Pala Airpad","06-073-1201","AQS","119","28","61.2","10/29/2003","10/29/2000"
"10/30/2020","115","Pala Airpad","06-073-1201","AQS","79","25","57.8","10/30/2007","10/30/2000"
"10/31/2020","79","Pala Airpad","06-073-1201","AQS","98","26","58.2","10/31/2019","10/31/2017"
"11/01/2020","86","Pala Airpad","06-073-1201","AQS","94","24","49.4","11/01/2007","11/01/2003"
"11/02/2020","81","Donovan","06-073-1014","AQS","121","27","46.6","11/02/2007","11/02/2017"
"11/03/2020","88","Pala Airpad","06-073-1201","AQS","129","21","49.2","11/03/2002","11/03/2015"
"11/04/2020","92","Pala Airpad","06-073-1201","AQS","114","32","57.2","11/04/2001","11/04/2015"
"11/05/2020","101","Pala Airpad","06-073-1201","AQS","117","31","57.8","11/05/2001","11/05/2017"
"11/06/2020","85","Pala Airpad","06-073-1201","AQS","133","37","59.4","11/06/2007","11/06/2014"
"11/07/2020","97","Pala Airpad","06-073-1201","AQS","134","35","65","11/07/2003","11/07/2014"
"11/08/2020","57","Pala Airpad","06-073-1201","AQS","127","25","64","11/08/2001","11/08/2002"
"11/09/2020","64","Pala Airpad","06-073-1201","AQS","114","16","53.2","11/09/2001","11/09/2002"
"11/10/2020","60","Pala Airpad","06-073-1201","AQS","88","29","54.6","11/10/2009","11/10/2005"
"11/11/2020","64","Pala Airpad","06-073-1201","AQS","80","31","61.8","11/11/2019","11/11/2010"
"11/12/2020","71","Pala Airpad","06-073-1201","AQS","91","43","66.2","11/12/2019","11/12/2006"
"11/13/2020","78","Pala Airpad","06-073-1201","AQS","103","31","68","11/13/2019","11/13/2001"
"11/14/2020","83","Pala Airpad","06-073-1201","AQS","106","32","65","11/14/2005","11/14/2014"
"11/15/2020","83","Pala Airpad","06-073-1201","AQS","122","34","64.8","11/15/2005","11/15/2014"
"11/16/2020","72","Pala Airpad","06-073-1201","AQS","97","38","66.8","11/16/2001","11/16/2003"
"11/17/2020","59","Pala Airpad","06-073-1201","AQS","122","36","61.2","11/17/2001","11/17/2014"
"11/18/2020","68","Donovan","06-073-1014","AQS","130","33","60.4","11/18/2001","11/18/2014"
"11/19/2020","81","Pala Airpad","06-073-1201","AQS","108","43","63.2","11/19/2001","11/19/2011"
"11/20/2020","76","Pala Airpad","06-073-1201","AQS","126","24","64.6","11/20/2007","11/20/2014"
"11/21/2020","93","Donovan","06-073-1014","AQS","86","26","55","11/21/2007","11/21/2014"
"11/22/2020","97","Pala Airpad","06-073-1201","AQS","86","39","51.4","11/22/2002","11/22/2014"
"11/23/2020","104","Pala Airpad","06-073-1201","AQS","108","41","55.4","11/23/2000","11/23/2013"
"11/24/2020","104","Pala Airpad","06-073-1201","AQS","108","35","59.8","11/24/2000","11/24/2014"
"11/25/2020","98","Pala Airpad","06-073-1201","AQS","134","38","61.6","11/25/2000","11/25/2014"
"11/26/2020","101","Pala Airpad","06-073-1201","AQS","117","39","59.2","11/26/2000","11/26/2018"
"11/27/2020","93","Pala Airpad","06-073-1201","AQS","120","33","56.6","11/27/2000","11/27/2006"
"11/28/2020","65","Pala Airpad","06-073-1201","AQS","117","29","52.8","11/28/2000","11/28/2006"
"11/29/2020","67","Pala Airpad","06-073-1201","AQS","96","25","45.4","11/29/2000","11/29/2019"
"11/30/2020","71","Pala Airpad","06-073-1201","AQS","113","27","59.8","11/30/2000","11/30/2007"
"12/01/2020","74","Pala Airpad","06-073-1201","AQS","131","37","61.2","12/01/2000","12/01/2012"
"12/02/2020","72","Pala Airpad","06-073-1201","AQS","157","38","60","12/02/2000","12/02/2014"
"12/03/2020","70","Pala Airpad","06-073-1201","AQS","155","26","59.6","12/03/2000","12/03/2014"
"12/04/2020","60","Pala Airpad","06-073-1201","AQS","105","23","62.8","12/04/2002","12/04/2014"
"12/05/2020","70","Pala Airpad","06-073-1201","AQS","155","42","52.8","12/05/2006","12/05/2019"
"12/06/2020","83","Pala Airpad","06-073-1201","AQS","129","39","50.4","12/06/2003","12/06/2018"
"12/07/2020","92","Pala Airpad","06-073-1201","AQS","94","21","54","12/07/2002","12/07/2007"
"12/08/2020","94","Donovan","06-073-1014","AQS","134","33","63.2","12/08/2000","12/08/2007"
"12/09/2020","71","Pala Airpad","06-073-1201","AQS","120","40","67.2","12/09/2012","12/09/2019"
"12/10/2020","97","Pala Airpad","06-073-1201","AQS","125","31","63","12/10/2012","12/10/2006"
"12/11/2020","93","Pala Airpad","06-073-1201","AQS","142","38","52.4","12/11/2007","12/11/2015"
"12/12/2020","98","Pala Airpad","06-073-1201","AQS","83","21","58.6","12/12/2001","12/12/2014"
"12/13/2020","100","Pala Airpad","06-073-1201","AQS","117","30","61.6","12/13/2002","12/13/2012"
"12/14/2020","88","Pala Airpad","06-073-1201","AQS","111","40","79.2","12/14/2005","12/14/2012"
"12/15/2020","92","Pala Airpad","06-073-1201","AQS","100","29","67.2","12/15/2005","12/15/2008"
"12/16/2020","76","Pala Airpad","06-073-1201","AQS","104","44","55","12/16/2005","12/16/2006"
"12/17/2020","75","Pala Airpad","06-073-1201","AQS","106","24","58.4","12/17/2001","12/17/2014"
"12/18/2020","83","Pala Airpad","06-073-1201","AQS","122","31","65.8","12/18/2001","12/18/2010"
"12/19/2020","80","Pala Airpad","06-073-1201","AQS","127","29","74.8","12/19/2001","12/19/2010"
"12/20/2020","76","Pala Airpad","06-073-1201","AQS","95","14","62.6","12/20/2008","12/20/2010"
"12/21/2020","74","Pala Airpad","06-073-1201","AQS","112","20","71.8","12/21/2018","12/21/2010"
"12/22/2020","78","Pala Airpad","06-073-1201","AQS","110","28","65","12/22/2000","12/22/2015"
"12/23/2020","92","Pala Airpad","06-073-1201","AQS","148","43","60.6","12/23/2000","12/23/2016"
"12/24/2020","92","Pala Airpad","06-073-1201","AQS","156","42","70.4","12/24/2000","12/24/2016"
"12/25/2020","81","Pala Airpad","06-073-1201","AQS","153","25","72.8","12/25/2009","12/25/2003"
"12/26/2020","82","Pala Airpad","06-073-1201","AQS","107","32","72","12/26/2002","12/26/2019"
"12/27/2020","92","Pala Airpad","06-073-1201","AQS","119","45","72.8","12/27/2017","12/27/2007"
"12/28/2020","101","Pala Airpad","06-073-1201","AQS","109","19","66.4","12/28/2001","12/28/2004"
"12/29/2020","74","Pala Airpad","06-073-1201","AQS","105","21","62.8","12/29/2001","12/29/2004"
"12/30/2020","72","Pala Airpad","06-073-1201","AQS","98","31","62.2","12/30/2007","12/30/2014"
"12/31/2020","82","El Cajon - Lexington Elementary School","06-073-1022","AQS","132","46","74.4","12/31/2000","12/31/2016"
